1 6 1753 yesterday = 2 today = 1, day mismatch
1 7 1753 yesterday = 2 today = 5, day mismatch
1 6 1754 yesterday = 3 today = 2, day mismatch
1 7 1754 yesterday = 3 today = 6, day mismatch
1 6 1755 yesterday = 4 today = 3, day mismatch
1 7 1755 yesterday = 4 today = 7, day mismatch
1 6 1756 yesterday = 6 today = 5, day mismatch
1 7 1756 yesterday = 6 today = 2, day mismatch
1 6 1757 yesterday = 7 today = 6, day mismatch
1 7 1757 yesterday = 7 today = 3, day mismatch
1 6 1758 yesterday = 1 today = 7, day mismatch
1 7 1758 yesterday = 1 today = 4, day mismatch
1 6 1759 yesterday = 2 today = 1, day mismatch
1 7 1759 yesterday = 2 today = 5, day mismatch
1 6 1760 yesterday = 4 today = 3, day mismatch
1 7 1760 yesterday = 4 today = 7, day mismatch
1 6 1761 yesterday = 5 today = 4, day mismatch
1 7 1761 yesterday = 5 today = 1, day mismatch
1 6 1762 yesterday = 6 today = 5, day mismatch
1 7 1762 yesterday = 6 today = 2, day mismatch
1 6 1763 yesterday = 7 today = 6, day mismatch
1 7 1763 yesterday = 7 today = 3, day mismatch
1 6 1764 yesterday = 2 today = 1, day mismatch
1 7 1764 yesterday = 2 today = 5, day mismatch
1 6 1765 yesterday = 3 today = 2, day mismatch
1 7 1765 yesterday = 3 today = 6, day mismatch
1 6 1766 yesterday = 4 today = 3, day mismatch
1 7 1766 yesterday = 4 today = 7, day mismatch
1 6 1767 yesterday = 5 today = 4, day mismatch
1 7 1767 yesterday = 5 today = 1, day mismatch
1 6 1768 yesterday = 7 today = 6, day mismatch
1 7 1768 yesterday = 7 today = 3, day mismatch
1 6 1769 yesterday = 1 today = 7, day mismatch
1 7 1769 yesterday = 1 today = 4, day mismatch
1 6 1770 yesterday = 2 today = 1, day mismatch
1 7 1770 yesterday = 2 today = 5, day mismatch
1 6 1771 yesterday = 3 today = 2, day mismatch
1 7 1771 yesterday = 3 today = 6, day mismatch
1 6 1772 yesterday = 5 today = 4, day mismatch
1 7 1772 yesterday = 5 today = 1, day mismatch
